collection_timestamp,collection_time_npt,data_source,record_id,market_open,collection_method,market_schedule,symbol,ltp,cp,pointchange,percentagechange,securityname,securityid,sensitive_index,sensitive_float_index,nepse_index,float_index,supplylist,demandlist,total_endpoints_collected,endpoints_collected,github_run_number
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_238,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,MKHC,321.6,,-1.0,-0.31,Maya Khola Hydropower Company Limited,9149.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_239,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,NMBHF2,9.62,,-0.03,-0.31,NMB Hybrid Fund L- II,9254.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_240,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SJLIC,432.0,,-1.3,-0.3,SuryaJyoti Life Insurance Company Limited,403.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_241,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,RSY,9.97,,-0.03,-0.3,Reliable Samriddhi Yojana,9259.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_242,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SFCL,382.0,,-1.1,-0.29,Samriddhi Finance Company Limited,256.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_243,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,NLIC,768.9,,-2.1,-0.27,Nepal Life Insurance Co. Ltd.,187.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_244,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,CGH,813.0,,-2.0,-0.25,Chandragiri Hills Limited,2917.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_245,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,MEHL,407.0,,-1.0,-0.25,Manakamana Engineering Hydropower Limited,9203.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_246,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SHINE,403.0,,-1.0,-0.25,Shine Resunga Development Bank Ltd.,473.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_247,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,LBBL,485.0,,-1.0,-0.21,Lumbini Bikas Bank Ltd.,358.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_248,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SMJC,466.0,,-1.0,-0.21,Sagarmatha Jalabidhyut Company Limited,9159.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_249,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,CHDC,2310.0,,-4.5,-0.19,CEDB Holdings Limited,3946.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_250,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,CHCL,479.1,,-0.9,-0.19,Chilime Hydropower Company Limited,154.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_251,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,NABBC,1209.0,,-2.0,-0.17,Narayani Development Bank Limited,172.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_252,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,CLI,456.3,,-0.7,-0.15,Citizen Life Insurance Company Limited,9209.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_253,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SWBBL,729.0,,-1.0,-0.14,Swabalamban Laghubitta Bittiya Sanstha Limited,268.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_254,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,ICFC,625.0,,-0.8,-0.13,ICFC Finance Limited,273.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_255,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,CIT,1768.0,,-2.0,-0.11,Citizen Investment Trust,210.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_256,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,HLICF,9.02,,-0.01,-0.11,HLI Large Cap Fund,9290.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_257,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,NICFC,9.25,,-0.01,-0.11,NIC Asia Flexi CAP Fund,8073.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_258,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,NBF3,9.86,,-0.01,-0.1,Nabil Balanced Fund-3,8024.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_259,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SMPDA,846.3,,-0.8,-0.09,Sampada Laghubitta Bittiya Sanstha Limited,2896.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_260,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SNLI,452.6,,-0.4,-0.09,Sun Nepal Life Insurance Company Limited,9201.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_261,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,GIBF1,10.85,,-0.01,-0.09,Global IME Balanced Fund-1,8106.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_262,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SIGS3,10.77,,-0.01,-0.09,Siddhartha Investment Growth Scheme 3,9182.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_263,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,HDL,1148.3,,-0.7,-0.06,Himalayan Distillery Limited,235.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_264,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,UPCL,378.0,,-0.2,-0.05,UNIVERSAL POWER COMPANY LTD,2810.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_265,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,SMHL,501.0,,-0.2,-0.04,Super Madi Hydropower Limited,9146.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,top_losers,top_losers_266,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,HLBSL,880.2,,-0.1,-0.01,Himalayan Laghubitta Bittiya Sanstha Limited,693.0,,,,,,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
2026-04-28T14:56:34.625346+05:45,2026-04-28 14:56:34,nepse_index,nepse_index_summary,True,cloud_automated,Tuesday - Trading Hours: 11:00 AM - 3:00 PM NPT,,,,,,,,"{'id': 57, 'auditId': None, 'exchangeIndexId': None, 'generatedTime': '2026-04-28T14:57:01.397', 'index': 'Sensitive Index', 'close': 469.72, 'high': 472.1356, 'low': 466.628, 'previousClose': 469.7201, 'change': -3.08, 'perChange': -0.65, 'fiftyTwoWeekHigh': 518.6, 'fiftyTwoWeekLow': 435.29, 'currentValue': 466.63}","{'id': 63, 'auditId': None, 'exchangeIndexId': None, 'generatedTime': '2026-04-28T14:57:01.397', 'index': 'Sensitive Float Index', 'close': 158.73, 'high': 159.4588, 'low': 157.5449, 'previousClose': 158.7305, 'change': -1.15, 'perChange': -0.72, 'fiftyTwoWeekHigh': 177.31, 'fiftyTwoWeekLow': 147.61, 'currentValue': 157.57}","{'id': 58, 'auditId': None, 'exchangeIndexId': None, 'generatedTime': '2026-04-28T14:57:01.397', 'index': 'NEPSE Index', 'close': 2796.43, 'high': 2812.297, 'low': 2765.277, 'previousClose': 2796.4332, 'change': -30.78, 'perChange': -1.1, 'fiftyTwoWeekHigh': 3002.08, 'fiftyTwoWeekLow': 2487.18, 'currentValue': 2765.64}","{'id': 62, 'auditId': None, 'exchangeIndexId': None, 'generatedTime': '2026-04-28T14:57:01.397', 'index': 'Float Index', 'close': 189.13, 'high': 189.6378, 'low': 187.2272, 'previousClose': 189.1339, 'change': -1.86, 'perChange': -0.98, 'fiftyTwoWeekHigh': 206.26, 'fiftyTwoWeekLow': 170.58, 'currentValue': 187.26}",,,4,"top_gainers, top_losers, nepse_index, supply_demand",4113
